zakaznik;produkt;cena_za_kus;pocet_kusov;celkova_cena
Martin Sloboda;Monitor;927.57;4;3710.28
Tomáš Blaho;Klávesnica;1471.04;5;7355.20
Tomáš Blaho;Monitor;859.70;2;1719.40
Martin Sloboda;Notebook;1268.76;5;6343.80
Anna Nováková;Klávesnica;1378.37;2;2756.74
Tomáš Blaho;Notebook;650.75;4;2603.00
Jana Horáková;Slúchadlá;157.31;4;629.24
Martin Sloboda;Slúchadlá;538.40;3;1615.20
Tomáš Blaho;Klávesnica;462.14;4;1848.56
Peter Kováč;Monitor;1396.41;4;5585.64
Martin Sloboda;Klávesnica;664.15;2;1328.30
Tomáš Blaho;Notebook;1390.72;5;6953.60
Martin Sloboda;Klávesnica;274.35;2;548.70
Peter Kováč;Myš;923.80;3;2771.40
Tomáš Blaho;Slúchadlá;300.31;5;1501.55
Martin Sloboda;Notebook;50.25;2;100.50
Jana Horáková;Klávesnica;496.36;1;496.36
Jana Horáková;Slúchadlá;359.49;1;359.49
Anna Nováková;Myš;1069.28;3;3207.84
Tomáš Blaho;Monitor;858.25;3;2574.75
Tomáš Blaho;Slúchadlá;1335.53;5;6677.65
Peter Kováč;Myš;1332.95;3;3998.85
Eva Tóthová;Slúchadlá;1360.71;1;1360.71
Peter Kováč;Myš;1000.41;1;1000.41
Peter Kováč;Notebook;770.87;3;2312.61
Eva Tóthová;Myš;34.43;2;68.86
Jana Horáková;Notebook;82.28;1;82.28
Martin Sloboda;Klávesnica;132.57;3;397.71
Eva Tóthová;Monitor;1370.26;5;6851.30
Peter Kováč;Myš;892.46;2;1784.92
Peter Kováč;Notebook;959.93;1;959.93
Tomáš Blaho;Slúchadlá;1066.70;4;4266.80
Martin Sloboda;Klávesnica;699.83;3;2099.49
Anna Nováková;Monitor;464.07;4;1856.28
Jana Horáková;Slúchadlá;1081.88;3;3245.64
Martin Sloboda;Slúchadlá;846.50;4;3386.00
Martin Sloboda;Klávesnica;268.62;1;268.62
Anna Nováková;Klávesnica;734.62;4;2938.48
Tomáš Blaho;Slúchadlá;1104.18;1;1104.18
Tomáš Blaho;Monitor;1190.19;1;1190.19
Eva Tóthová;Notebook;1303.70;1;1303.70
Martin Sloboda;Klávesnica;161.81;3;485.43
Anna Nováková;Slúchadlá;1369.39;5;6846.95
Anna Nováková;Klávesnica;184.96;1;184.96
Anna Nováková;Klávesnica;906.37;1;906.37
Jana Horáková;Monitor;1080.60;3;3241.80
Peter Kováč;Myš;867.58;5;4337.90
Tomáš Blaho;Notebook;1258.36;5;6291.80
Anna Nováková;Monitor;1362.34;3;4087.02
Eva Tóthová;Monitor;343.64;1;343.64
Eva Tóthová;Notebook;690.67;1;690.67
Anna Nováková;Notebook;741.31;4;2965.24
Tomáš Blaho;Klávesnica;1400.36;1;1400.36
Tomáš Blaho;Myš;366.87;5;1834.35
Peter Kováč;Slúchadlá;134.05;4;536.20
Martin Sloboda;Myš;1097.66;2;2195.32
Anna Nováková;Notebook;417.81;1;417.81
Tomáš Blaho;Notebook;523.26;4;2093.04
Tomáš Blaho;Myš;579.72;2;1159.44
Jana Horáková;Myš;451.52;2;903.04
Anna Nováková;Klávesnica;1029.92;2;2059.84
Jana Horáková;Slúchadlá;1049.06;1;1049.06
Eva Tóthová;Notebook;201.91;4;807.64
Anna Nováková;Monitor;1380.59;3;4141.77
Martin Sloboda;Monitor;610.99;2;1221.98
Martin Sloboda;Klávesnica;1063.11;5;5315.55
Eva Tóthová;Slúchadlá;1471.15;5;7355.75
Jana Horáková;Myš;1400.12;4;5600.48
Martin Sloboda;Monitor;323.10;5;1615.50
Peter Kováč;Monitor;577.76;2;1155.52
Tomáš Blaho;Klávesnica;977.94;4;3911.76
Jana Horáková;Monitor;413.15;5;2065.75
Peter Kováč;Monitor;1328.82;2;2657.64
Peter Kováč;Notebook;216.51;5;1082.55
Martin Sloboda;Slúchadlá;1000.75;3;3002.25
Peter Kováč;Myš;1023.03;3;3069.09
Anna Nováková;Monitor;83.86;1;83.86
Jana Horáková;Slúchadlá;1244.65;4;4978.60
Eva Tóthová;Myš;551.34;1;551.34
Jana Horáková;Monitor;346.05;1;346.05
Martin Sloboda;Monitor;1224.47;2;2448.94
Tomáš Blaho;Myš;456.73;2;913.46
Anna Nováková;Klávesnica;1399.77;4;5599.08
Peter Kováč;Myš;1278.39;4;5113.56
Peter Kováč;Monitor;560.40;2;1120.80
Tomáš Blaho;Klávesnica;986.81;3;2960.43
Martin Sloboda;Notebook;294.35;2;588.70
Martin Sloboda;Myš;1324.21;4;5296.84
Tomáš Blaho;Slúchadlá;1292.97;2;2585.94
Tomáš Blaho;Monitor;612.32;2;1224.64
Tomáš Blaho;Myš;646.41;4;2585.64
Anna Nováková;Notebook;1155.97;4;4623.88
Peter Kováč;Myš;1086.38;3;3259.14
Tomáš Blaho;Monitor;800.07;1;800.07
Tomáš Blaho;Notebook;328.86;3;986.58
Eva Tóthová;Klávesnica;1292.85;4;5171.40
Eva Tóthová;Monitor;1061.14;2;2122.28
Martin Sloboda;Slúchadlá;286.83;3;860.49
Eva Tóthová;Slúchadlá;1096.56;5;5482.80
Martin Sloboda;Myš;983.93;1;983.93
